Symbol,Stock Exchange,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
WSTG,NASDAQ,"Wayside Technology Group, Inc.",20.35,$91.84M,n/a,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/wstg
WCFB,NASDAQ,"WCF Bancorp, Inc.",9.995,$25.6M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wcfb
WDFC,NASDAQ,WD-40 Company,103.575,$1.46B,1973,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wdfc
FLAG,NASDAQ,WeatherStorm Forensic Accounting Long Short ETF,37.9884,$15.2M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/flag
WEB,NASDAQ,"Web.com Group, Inc.",21.725,$1.11B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/web
WBMD,NASDAQ,WebMD Health Corp,54.93,$2.08B,2005,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wbmd
WCST,NASDAQ,"Wecast Network, Inc.",3.23,$193.45M,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/wcst
WB,NASDAQ,Weibo Corporation,62.42,$13.61B,2014,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wb
WEBK,NASDAQ,"Wellesley Bancorp, Inc.",27.25,$67.71M,2012,Finance,Banks,http://www.nasdaq.com/symbol/webk
WEN,NASDAQ,Wendy&#39;s Company (The),15.835,$3.9B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/wen
WERN,NASDAQ,"Werner Enterprises, Inc.",25.8,$1.86B,1986,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/wern
WSBC,NASDAQ,"WesBanco, Inc.",38.47,$1.69B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wsbc
WTBA,NASDAQ,West Bancorporation,22.55,$365.02M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wtba
WSTC,NASDAQ,West Corporation,23.13,$1.96B,2013,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wstc
WMAR,NASDAQ,"West Marine, Inc.",10.19,$256.45M,1993,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/wmar
WABC,NASDAQ,Westamerica Bancorporation,52.72,$1.39B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wabc
WBB,NASDAQ,"Westbury Bancorp, Inc.",20.3,$81.96M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/wbb
WSTL,NASDAQ,"Westell Technologies, Inc.",0.645,$39.99M,1995,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/wstl
WDC,NASDAQ,Western Digital Corporation,89.62,$26.1B,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/wdc
WNEB,NASDAQ,"Western New England Bancorp, Inc.",10.3,$317.13M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/wneb
WLB,NASDAQ,Westmoreland Coal Company,9.83,$182.57M,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/wlb
WPRT,NASDAQ,Westport Fuel Systems Inc,1.47,$160.8M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wprt
WEYS,NASDAQ,"Weyco Group, Inc.",27.3,$284.03M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/weys
WHLR,NASDAQ,"Wheeler Real Estate Investment Trust, Inc.",11.06,$95.3M,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/whlr
WHF,NASDAQ,"WhiteHorse Finance, Inc.",14.41,$263.76M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/whf
WFM,NASDAQ,"Whole Foods Market, Inc.",36.28,$11.56B,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/wfm
WILN,NASDAQ,Wi-LAN Inc,1.54,$182.6M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/wiln
WHLM,NASDAQ,"Wilhelmina International, Inc.",6.8275,$36.74M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/whlm
WVVI,NASDAQ,"Willamette Valley Vineyards, Inc.",8,$40.01M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/wvvi
WLDN,NASDAQ,"Willdan Group, Inc.",32.12,$276.51M,2006,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/wldn
WLFC,NASDAQ,Willis Lease Finance Corporation,25.74,$167.07M,1996,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/wlfc
WLTW,NASDAQ,Willis Towers Watson Public Limited Company,142.32,$19.24B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/wltw
WIN,NASDAQ,"Windstream Holdings, Inc.",4.315,$821.98M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/win
WING,NASDAQ,Wingstop Inc.,30.75,$891.04M,2015,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/wing
WINA,NASDAQ,Winmark Corporation,130.075,$542.38M,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/wina
WINS,NASDAQ,Wins Finance Holdings Inc.,37,$741.54M,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wins
WTFC,NASDAQ,Wintrust Financial Corporation,70.63,$3.93B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wtfc
AGZD,NASDAQ,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,48.005,$24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agzd
AGND,NASDAQ,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,43.9203,$17.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agnd
CXSE,NASDAQ,WisdomTree China ex-State-Owned Enterprises Fund,62.46,$9.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cxse
EMCG,NASDAQ,WisdomTree Emerging Markets Consumer Growth Fund,23.4899,$25.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emcg
EMCB,NASDAQ,WisdomTree Emerging Markets Corporate Bond Fund,71.95,$50.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emcb
DGRE,NASDAQ,WisdomTree Emerging Markets Quality Dividend Growth Fund,23.99,$50.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dgre
DXGE,NASDAQ,WisdomTree Germany Hedged Equity Fund,31.54,$129.31M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dxge
HYZD,NASDAQ,WisdomTree Interest Rate Hedged High Yield Bond Fund,24.07,$57.77M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hyzd
WETF,NASDAQ,"WisdomTree Investments, Inc.",9.025,$1.23B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/wetf
DXJS,NASDAQ,WisdomTree Japan Hedged SmallCap Equity Fund,39.15,$121.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dxjs
GULF,NASDAQ,WisdomTree Middle East Dividend Fund,17.31,$17.31M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gulf
HYND,NASDAQ,WisdomTree Negative Duration High Yield Bond Fund,21.04,$16.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hynd
CRDT,NASDAQ,WisdomTree Strategic Corporate Bond Fund,75.2957,$7.53M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crdt
DGRW,NASDAQ,WisdomTree U.S. Quality Dividend Growth Fund,35.97,$1.33B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dgrw
DGRS,NASDAQ,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,33.15,$102.77M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dgrs
DXPS,NASDAQ,WisdomTree United Kingdom Hedged Equity Fund,24.2,$18.15M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dxps
UBND,NASDAQ,WisdomTree Western Asset Unconstrained Bond Fund,50.25,$5.03M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ubnd
WIX,NASDAQ,Wix.com Ltd.,78.35,$3.51B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wix
WMIH,NASDAQ,WMIH Corp.,1.3,$268.3M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wmih
WBKC,NASDAQ,"Wolverine Bancorp, Inc.",31.2867,$65.89M,2011,Finance,Banks,http://www.nasdaq.com/symbol/wbkc
WWD,NASDAQ,"Woodward, Inc.",66.16,$4.05B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wwd
WKHS,NASDAQ,"Workhorse Group, Inc.",2.79,$100.32M,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/wkhs
WRLD,NASDAQ,World Acceptance Corporation,78.98,$693.7M,1991,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wrld
WPCS,NASDAQ,WPCS International Incorporated,1.326,$4.44M,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/wpcs
WPPGY,NASDAQ,WPP plc,109.95,$29.29B,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/wppgy
WMGI,NASDAQ,Wright Medical Group N.V.,27.66,$2.88B,2011,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/wmgi
WSFS,NASDAQ,WSFS Financial Corporation,45.05,$1.42B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wsfs
WSCI,NASDAQ,WSI Industries Inc.,3.1168,$9.1M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wsci
WVFC,NASDAQ,WVS Financial Corp.,15.15,$30.42M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/wvfc
WYNN,NASDAQ,"Wynn Resorts, Limited",125.25,$12.82B,2002,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/wynn
XBIT,NASDAQ,XBiotech Inc.,8.88,$312.71M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xbit
XELB,NASDAQ,"Xcel Brands, Inc",2.225,$41.6M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/xelb
XCRA,NASDAQ,Xcerra Corporation,9.705,$526.66M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/xcra
XNCR,NASDAQ,"Xencor, Inc.",22.31,$1.04B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xncr
XBIO,NASDAQ,"Xenetic Biosciences, Inc.",3.2,$27.83M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xbio
XBKS,NASDAQ,"Xenith Bankshares, Inc.",27.3,$632.25M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/xbks
XENE,NASDAQ,Xenon Pharmaceuticals Inc.,4.2,$75.59M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xene
XGTI,NASDAQ,"XG Technology, Inc",1.4,$15.57M,2013,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/xgti
XLNX,NASDAQ,"Xilinx, Inc.",64.3,$16.01B,1990,Technology,Semiconductors,http://www.nasdaq.com/symbol/xlnx
XOMA,NASDAQ,XOMA Corporation,6.24,$47.33M,1986,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xoma
XPER,NASDAQ,Xperi Corporation,33.025,$1.63B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/xper
XPLR,NASDAQ,Xplore Technologies Corp,1.98,$21.72M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/xplr
XTLB,NASDAQ,XTL Biopharmaceuticals Ltd.,2.52,$12.96M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xtlb
XNET,NASDAQ,Xunlei Limited,3.79,$250.55M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/xnet
YHOO,NASDAQ,Yahoo! Inc.,49.65,$47.57B,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/yhoo
YNDX,NASDAQ,Yandex N.V.,28.065,$9.08B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/yndx
YERR,NASDAQ,Yangtze River Development Limited,10.05,$1.73B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/yerr
YTRA,NASDAQ,"Yatra Online, Inc.",9.28,$313.75M,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/ytra
YTEN,NASDAQ,"Yield10 Bioscience, Inc.",0.4981,$14.15M,n/a,Basic Industries,Containers/Packaging,http://www.nasdaq.com/symbol/yten
YIN,NASDAQ,Yintech Investment Holdings Limited,12.85,$885.18M,2016,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/yin
YRCW,NASDAQ,"YRC Worldwide, Inc.",7.925,$265.73M,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/yrcw
YECO,NASDAQ,Yulong Eco-Materials Limited,0.55,$6.6M,2015,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/yeco
YY,NASDAQ,YY Inc.,53.9,$2.99B,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/yy
ZFGN,NASDAQ,"Zafgen, Inc.",4.14,$113.32M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/zfgn
ZAGG,NASDAQ,ZAGG Inc,8.7252,$243.97M,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/zagg
ZAIS,NASDAQ,"ZAIS Group Holdings, Inc.",2.19,$32.08M,2013,Finance,Investment Managers,http://www.nasdaq.com/symbol/zais
ZBRA,NASDAQ,Zebra Technologies Corporation,99.69,$5.26B,1991,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/zbra
Z,NASDAQ,"Zillow Group, Inc.",42.89,$7.89B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/z
ZN,NASDAQ,Zion Oil & Gas Inc,1.64,$77.5M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/zn
ZION,NASDAQ,Zions Bancorporation,40.16,$8.14B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/zion
ZIOP,NASDAQ,ZIOPHARM Oncology Inc,7.3454,$972.4M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ziop
ZIXI,NASDAQ,Zix Corporation,5.47,$299.91M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/zixi
ZGNX,NASDAQ,"Zogenix, Inc.",12.75,$316.37M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/zgnx
ZSAN,NASDAQ,Zosano Pharma Corporation,1.41,$55.27M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/zsan
ZUMZ,NASDAQ,Zumiez Inc.,16.25,$409.04M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/zumz
ZYNE,NASDAQ,"Zynerba Pharmaceuticals, Inc.",19.59,$259.56M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/zyne
ZNGA,NASDAQ,Zynga Inc.,3.32,$2.86B,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/znga
DDD,NYSE,3D Systems Corporation,21.79,$2.48B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,NYSE,3M Company,196.57,$117.4B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,NYSE,500.com Limited,9.28,$380.38M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,NYSE,58.com Inc.,43.2,$6.26B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AHC,NYSE,A.H. Belo Corporation,5.95,$129.3M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,NYSE,"A10 Networks, Inc.",8.25,$572.03M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,NYSE,"AAC Holdings, Inc.",7.17,$172.6M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,NYSE,AAR Corp.,34.51,$1.18B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,NYSE,"Aaron&#39;s,  Inc.",35,$2.54B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,NYSE,ABB Ltd,24.75,$53.06B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,NYSE,Abbott Laboratories,43.96,$76.28B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,NYSE,AbbVie Inc.,66.06,$105.14B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,NYSE,Abercrombie & Fitch Company,13.83,$940.38M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,NYSE,"Aberdeen Greater China Fund, Inc.",10.9,$96.49M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,NYSE,"Aberdeen Japan Equity Fund, Inc. ",8.25,$110.95M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,NYSE,"Aberdeen Singapore Fund, Inc.",11.13,$84.1M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,NYSE,ABM Industries Incorporated,42.24,$2.35B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,NYSE,Acadia Realty Trust,27.51,$2.33B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,NYSE,Accenture plc,120.96,$77.55B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,NYSE,Acco Brands Corporation,12.25,$1.34B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ATV,NYSE,"Acorn International, Inc.",11.5354,$44.14M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,NYSE,Actuant Corporation,26.05,$1.55B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,NYSE,Acuity Brands Inc,173.43,$7.65B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
GOLF,NYSE,Acushnet Holdings Corp.,19.65,$1.46B,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
ADX,NYSE,"Adams Diversified Equity Fund, Inc.",14.04,$1.4B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,NYSE,"Adams Natural Resources Fund, Inc.",19.08,$544.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AGRO,NYSE,Adecoagro S.A.,11.5,$1.4B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADNT,NYSE,Adient plc,71.25,$6.68B,2016,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adnt
AAP,NYSE,Advance Auto Parts Inc,145.02,$10.71B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
ADSW,NYSE,"Advanced Disposal Services, Inc.",21.66,$1.91B,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
WMS,NYSE,"Advanced Drainage Systems, Inc.",22.15,$1.22B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ASX,NYSE,"Advanced Semiconductor Engineering, Inc.",6.16,$10.19B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
APFH,NYSE,"AdvancePierre Foods Holdings, Inc.",40.49,$3.19B,2016,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/apfh
ASIX,NYSE,AdvanSix Inc.,31.14,$949.24M,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
AAV,NYSE,Advantage Oil & Gas Ltd,6.45,$1.19B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
AVK,NYSE,Advent Claymore Convertible Securities and Income Fund,15.96,$376.35M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,NYSE,Advent Claymore Convertible Securities and Income Fund II,6.23,$200.59M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,NYSE,Advent/Claymore Enhanced Growth & Income Fund,8.6,$116.99M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,NYSE,AECOM,32.1,$4.99B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,NYSE,Aegean Marine Petroleum Network Inc.,10.4,$409.8M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,NYSE,Aegon NV,25.02,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AER,NYSE,Aercap Holdings N.V.,44.62,$7.58B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
HIVE,NYSE,"Aerohive Networks, Inc.",4.25,$224.57M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AJRD,NYSE,"Aerojet Rocketdyne Holdings, Inc. ",20.34,$1.52B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
AET,NYSE,Aetna Inc.,142.9,$47.4B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AMG,NYSE,"Affiliated Managers Group, Inc.",153.58,$8.69B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
AFL,NYSE,Aflac Incorporated,73.43,$29.14B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
MITT,NYSE,"AG Mortgage Investment Trust, Inc.",18.17,$503.4M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
AGCO,NYSE,AGCO Corporation,63.74,$5.07B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
A,NYSE,"Agilent Technologies, Inc.",56.16,$18.1B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
AEM,NYSE,Agnico Eagle Mines Limited,48.42,$11.18B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,NYSE,Agree Realty Corporation,45.17,$1.18B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
AGU,NYSE,Agrium Inc.,90.97,$12.57B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,NYSE,Air Lease Corporation,35.61,$3.67B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,NYSE,"Air Products and Chemicals, Inc.",144.07,$31.37B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,NYSE,Aircastle Limited,21.6,$1.7B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
AKS,NYSE,AK Steel Holding Corporation,5.62,$1.77B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^O,NYSE,Alabama Power Company,28.01,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALG,NYSE,"Alamo Group, Inc.",82.24,$949.89M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,NYSE,Alamos Gold Inc.,6.54,$1.96B,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALK,NYSE,"Alaska Air Group, Inc.",83.59,$10.33B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,NYSE,Albany International Corporation,47.05,$1.51B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,NYSE,Albemarle Corporation,110.38,$12.22B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
AA,NYSE,Alcoa Corporation,31.79,$5.86B,2016,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
ALR,NYSE,Alere Inc.,46.7,$4.06B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALEX,NYSE,"Alexander & Baldwin Holdings, Inc.",41.21,$2.03B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,NYSE,"Alexander&#39;s, Inc.",414,$2.11B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,NYSE,"Alexandria Real Estate Equities, Inc.",115.85,$10.55B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
AQN,NYSE,Algonquin Power & Utilities Corp.,9.68,$3.7B,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn
BABA,NYSE,Alibaba Group Holding Limited,120.34,$300.85B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
Y,NYSE,Alleghany Corporation,571.13,$8.81B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,NYSE,Allegheny Technologies Incorporated,15.33,$1.67B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ALLE,NYSE,Allegion plc,76.73,$7.31B,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
AGN,NYSE,Allergan plc.,230.88,$77.54B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
ALE,NYSE,"Allete, Inc.",69.36,$3.53B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AKP,NYSE,Alliance California Municipal Income Fund Inc,13.6,$116.34M,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp
ADS,NYSE,Alliance Data Systems Corporation,243.47,$13.56B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
AFB,NYSE,Alliance National Municipal Income Fund Inc,13.51,$388.34M,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb
AOI,NYSE,"Alliance One International, Inc.",12.55,$122.17M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi
AWF,NYSE,Alliance World Dollar Government Fund II,12.7,$1.1B,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf
AB,NYSE,AllianceBernstein Holding L.P.,21.15,$2.04B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
LNT,NYSE,Alliant Energy Corporation,39.61,$9.02B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
NCV,NYSE,AllianzGI Convertible & Income Fund,6.88,$607.39M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncv
NCZ,NYSE,AllianzGI Convertible & Income Fund II,6.05,$450.78M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz
ACV,NYSE,AllianzGI Diversified Income & Convertible Fund,20.56,$211.25M,2015,n/a,n/a,http://www.nasdaq.com/symbol/acv
NIE,NYSE,AllianzGI Equity & Convertible Income Fund,19.67,$545.04M,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie
NFJ,NYSE,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.18,$1.25B,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
AWH,NYSE,"Allied World Assurance Company Holdings, AG",52.62,$4.6B,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh
